2019,2018
1,1
Duke,Villanova
85,87
16,16
North Dakota State,Radford
62,61
"at Columbia, SC","at Pittsburgh, PA"
8,8
VCU,Virginia Tech
58,83
9,9
UCF,Alabama
73,86
"at Columbia, SC","at Pittsburgh, PA"
5,5
Mississippi State,West Virginia
76,85
12,12
Liberty,Murray State
80,68
"at San Jose, CA","at San Diego, CA"
4,4
Virginia Tech,Wichita State
66,75
13,13
Saint Louis,Marshall
52,81
"at San Jose, CA","at San Diego, CA"
6,6
Maryland,Florida
79,77
11,11
Belmont,St. Bonaventure
77,62
"at Jacksonville, FL","at Dallas, TX"
3,3
LSU,Texas Tech
79,70
14,14
Yale,Stephen F. Austin
74,60
"at Jacksonville, FL","at Dallas, TX"
7,7
Louisville,Arkansas
76,62
10,10
Minnesota,Butler
86,79
"at Des Moines, IA","at Detroit, MI"
2,2
Michigan State,Purdue
76,74
15,15
Bradley,Cal State Fullerton
65,48
1,1
Gonzaga,Kansas
87,76
16,16
Fairleigh Dickinson,Penn
49,60
"at Salt Lake City, UT","at Wichita, KS"
8,8
Syracuse,Seton Hall
69,94
9,9
Baylor,NC State
78,83
"at Salt Lake City, UT","at Wichita, KS"
5,5
Marquette,Clemson
64,79
12,12
Murray State,New Mexico State
83,68
"at Hartford, CT","at San Diego, CA"
4,4
Florida State,Auburn
76,62
13,13
Vermont,College of Charleston
69,58
"at Hartford, CT","at San Diego, CA"
6,6
Buffalo,TCU
91,52
11,11
Arizona State,Syracuse
74,57
"at Tulsa, OK","at Detroit, MI"
3,3
Texas Tech,Michigan State
72,82
14,14
Northern Kentucky,Bucknell
57,78
"at Tulsa, OK","at Detroit, MI"
7,7
Nevada,Rhode Island
61,83
10,10
Florida,Oklahoma
70,78
"at Des Moines, IA","at Pittsburgh, PA"
2,2
Michigan,Duke
74,89
15,15
Montana,Iona
55,67
1,1
UNC,Xavier
88,102
16,16
Iona,Texas Southern
73,83
"at Columbus, OH","at Nashville, TN"
8,8
Utah State,Missouri
61,54
9,9
Washington,Florida State
78,67
"at Columbus, OH","at Nashville, TN"
5,5
Auburn,Ohio State
78,81
12,12
New Mexico State,South Dakota State
77,73
"at Salt Lake City, UT","at Boise, ID"
4,4
Kansas,Gonzaga
87,68
13,13
Northeastern,UNC Greensboro
53,64
"at Salt Lake City, UT","at Boise, ID"
6,6
Iowa State,Houston
59,67
11,11
Ohio State,San Diego State
62,65
"at Tulsa, OK","at Wichita, KS"
3,3
Houston,Michigan
84,61
14,14
Georgia State,Montana
55,47
"at Tulsa, OK","at Wichita, KS"
7,7
Wofford,Texas A&M
84,73
10,10
Seton Hall,Providence
68,69
"at Jacksonville, FL","at Charlotte, NC"
2,2
Kentucky,UNC
79,84
15,15
Abilene Christian,Lipscomb
44,66
1,1
Virginia,Virginia
71,54
16,16
Gardner-Webb,UMBC
56,74
"at Columbia, SC","at Charlotte, NC"
8,8
Ole Miss,Creighton
72,59
9,9
Oklahoma,Kansas State
95,69
"at Columbia, SC","at Charlotte, NC"
5,5
Wisconsin,Kentucky
54,78
12,12
Oregon,Davidson
72,73
"at San Jose, CA","at Boise, ID"
4,4
Kansas State,Arizona
64,68
13,13
UC-Irvine,Buffalo
70,89
"at San Jose, CA","at Boise, ID"
6,6
Villanova,Miami (FL)
61,62
11,11
Saint Mary's,Loyola (IL)
57,64
"at Hartford, CT","at Dallas, TX"
3,3
Purdue,Tennessee
61,73
14,14
Old Dominion,Wright State
48,47
"at Hartford, CT","at Dallas, TX"
7,7
Cincinnati,Nevada
72,87
10,10
Iowa,Texas
79,83
"at Columbus, OH","at Nashville, TN"
2,2
Tennessee,Cincinnati
77,68
15,15
Colgate,Georgia State
70,53